orf_name,deg,eff,sens,trans,eigenvec_centr,closeness_centr,smallest_eigenvec,neighbor_degree,gene1,Systematic gene name
rad61,44,4.895141877553934,3.443411258389673,0.821353065539112,0.00017676017206132546,0.22480586525530347,-0.0005804448779680453,68.75,rad61,YDR014W
scs2,17,0.8707660033409446,1.652435604246947,0.33088235294117646,0.00012174073154925353,0.23229334767796306,-0.0005691745016842731,37.88235294117647,scs2,YER120W
stu1-7,6,0.10305413840059803,2.5556071612032203,0.6666666666666666,2.8149562359585275e-05,0.20864873570623288,-0.0005821422201569878,64.5,stu1-7,YBL034C
tub2-430,14,0.5609583193441133,3.198361016783793,0.9230769230769231,6.155053379632816e-05,0.21539612602876382,-0.0005775352793703653,58.0,tub2-430,YFL037W
bio2,1,0.004977744412657291,1.3866920957436777,0.0,7.555180332684461e-06,0.21056481105241773,-0.0005780483655481566,61.0,bio2,YGR286C
dck1,3,0.06189076361617603,0.883321417301102,0.3333333333333333,2.712209839727976e-07,0.20733805465530347,-0.0005668389195819619,14.0,dck1,YLR422W
cog4-5002,6,0.14871003629914617,0.4973800202630986,0.13333333333333333,2.9500169913680714e-06,0.21977183086644897,-0.0005262205276995546,13.5,cog4-5002,YPR105C
cos1,7,0.194661572764238,0.6162635694536213,0.2857142857142857,2.2062880934580143e-06,0.2190101855373822,-0.0005380599391014774,15.285714285714286,cos1,YNL336W
dus1,15,1.923386667541163,0.37037968718126857,0.0380952380952381,2.6491240041479513e-06,0.22616969273743018,-0.0005325959765233974,8.0,dus1,YML080W
hri1,12,3.88533004923518,0.5768578022182029,0.10606060606060606,7.77460404970089e-06,0.23182570572182704,-0.0005279550384993577,12.833333333333334,hri1,YLR301W
lro1,5,0.09299123155791683,0.4851710140561127,0.3,5.503956901397284e-06,0.2210750853242321,-0.000513237184461451,18.6,lro1,YNR008W
sch9-supp1,10,0.6943540358754849,0.2850917280756072,0.08888888888888889,1.2752637312186319e-05,0.23048525552639773,-0.0004930381168228883,10.1,sch9-supp1,YHR205W
vac8-supp1,8,0.6689099513659942,0.5807654897131982,0.21428571428571427,0.0006306496967410943,0.22100908431782318,-0.0005019766009898223,15.75,vac8-supp1,YEL013W
yal044w-a,8,0.9767301515200866,0.7019952564930991,0.0,6.736106234008549e-07,0.2046684308227023,-0.0005514055142114241,6.0,yal044w-a,YAL044W-A
ydr090c,18,1.2105509501405682,0.6367256016816641,0.35294117647058826,4.539339379457185e-05,0.23384476534296028,-0.0005409319898802634,18.72222222222222,ydr090c,YDR090C
bit2,1,0.006382733114406012,1.5377903913892212,0.0,1.1818040261301833e-06,0.1995071995071995,-0.0005924830251487424,31.0,bit2,YBR270C
bls1,15,0.3777799775678923,0.2917052761840734,0.2,0.0003422477704522054,0.2487638615524939,-0.00053902063395137,24.6,bls1,YLR408C
pik1-139,10,0.9386637273912796,0.43383569525450216,0.06666666666666667,0.0006422488916537007,0.22824171952078928,-0.0005588667490519189,13.7,pik1-139,YNL267W
bms1-1-supp2,10,0.4759315510870319,2.0954623359167006,0.7111111111111111,3.590244522461146e-05,0.20479785005730547,-0.0005813639254951147,28.9,bms1-1-supp2,YPL217C
